Lugar;Espacialidade;"COD IBGE";"IDHM Renda (2010)";"IDHM Longevidade (2010)";"IDHM Educação (2010)";"Taxa de analfabetismo - 11 a 14 anos (2010)";"Taxa de analfabetismo - 15 a 17 anos (2010)";"Taxa de analfabetismo - 18 a 24 anos (2010)";"Taxa de analfabetismo - 25 a 29 anos (2010)";"Taxa de analfabetismo - 25 anos ou mais (2010)";"Taxa de analfabetismo - 15 anos ou mais (2010)";"Taxa de analfabetismo - 18 anos ou mais (2010)";"Renda per capita (2010)"
"Parque das Laranjeiras / Conjunto Fabiana / Jardim Vitória (Goiânia , RM Goiânia)";UDH;--;0,839;0,910;0,833;0,26;0,32;0,30;0,31;1,43;1,22;1,26;1479,43
"Pedro Ludovico : Parque Areião / Areião I e II (Goiânia , RM Goiânia)";UDH;--;0,790;0,888;0,747;0,96;0,27;0,52;0,63;3,28;2,57;2,72;1090,86
"Pedro Ludovico : Terminal Izidória / Av. Botafogo (Goiânia , RM Goiânia)";UDH;--;0,835;0,904;0,796;1,96;1,29;0,46;0,59;2,76;2,26;2,31;1447,36
"Pilar dos Sonhos / Jardim Real / Residencial Tempo Novo / Recanto das Garças (Goiânia , RM Goiânia)";UDH;--;0,709;0,822;0,706;1,72;0,80;0,89;1,56;6,13;4,80;5,15;660,20
"Presidente / Presidente ( Extensão I) (Goiânia , RM Goiânia)";UDH;--;0,766;0,869;0,671;0,50;1,03;0,25;0,96;3,40;2,73;2,84;937,95
"Privê Atlântico (Goiânia , RM Goiânia)";UDH;--;0,959;0,934;0,897;0,00;2,41;0,48;0,00;0,35;0,49;0,37;3126,87
"Recreio dos Funcionários Públicos (Goiânia , RM Goiânia)";UDH;--;0,712;0,801;0,601;0,00;0,00;1,19;1,90;4,37;3,53;3,76;670,51
"Redenção : BR 153 / Av. 2 Radial / Vila Isabel (Goiânia , RM Goiânia)";UDH;--;0,799;0,893;0,786;0,00;1,59;0,00;1,25;2,69;2,11;2,14;1157,18
"Redenção : Córrego Botafogo / Jardim da Luz / Alto da Glória (Goiânia , RM Goiânia)";UDH;--;0,766;0,869;0,671;1,08;0,25;0,27;0,40;3,41;2,63;2,79;937,95
"Residencial Buena Vista (Goiânia , RM Goiânia)";UDH;--;0,623;0,740;0,540;8,16;5,51;4,64;8,44;19,15;15,13;16,06;387,06
"Residencial Jardins do Cerrado / Residencial Mundo Novo (Goiânia , RM Goiânia)";UDH;--;0,623;0,740;0,540;5,09;1,29;3,92;4,50;9,73;8,00;8,81;387,06
"Residencial Ytapuã / Monte Pascoal / Setor Eldorado Oeste / Lírios do Campo (Goiânia , RM Goiânia)";UDH;--;0,648;0,738;0,537;1,35;1,04;1,21;1,11;5,48;4,49;4,76;451,54
"Rio Formoso / Moinho dos Ventos / Parque Paineiras (Goiânia , RM Goiânia)";UDH;--;0,752;0,857;0,767;1,22;0,44;0,45;0,62;3,05;2,45;2,61;859,84
"Rodoviário / Aurora / Santa Tereza / Cidade Jardim / Castelo Branco (Goiânia , RM Goiânia)";UDH;--;0,771;0,884;0,776;0,72;0,15;0,50;0,40;3,11;2,48;2,61;969,31
"Santa Cruz / Chácara do Governador (Goiânia , RM Goiânia)";UDH;--;0,674;0,769;0,638;1,62;0,74;0,87;0,52;8,14;6,43;6,83;531,30
"Santa Genoveva / Perimetral Norte (Goiânia , RM Goiânia)";UDH;--;0,790;0,888;0,747;0,89;0,00;1,20;0,89;2,64;2,25;2,36;1090,86
"Santa Helena / Santana / Irany / Abajá / Perdiz (Goiânia , RM Goiânia)";UDH;--;0,733;0,821;0,726;1,98;0,51;0,57;1,11;5,06;4,02;4,26;766,42
"Santa Isabel / Bairro Feliz / Santa Isabel / Elísio Campos (Goiânia , RM Goiânia)";UDH;--;0,878;0,908;0,879;0,36;0,00;0,25;0,00;1,79;1,45;1,53;1882,32
"Santos Dumont / Leste da GO 070 (Goiânia , RM Goiânia)";UDH;--;0,712;0,801;0,601;2,21;1,18;0,93;0,27;3,90;3,19;3,34;670,51
"São Francisco : Parque Mendanha / Condomínio do Lago / Petrópolis (Goiânia , RM Goiânia)";UDH;--;0,766;0,878;0,736;0,62;0,70;0,66;0,82;3,40;2,70;2,85;942,98
"São Francisco : Residencial Santa Rita / Residencial Santa Maria (Goiânia , RM Goiânia)";UDH;--;0,839;0,910;0,833;0,00;0,00;0,00;0,49;0,92;0,76;0,80;1479,43
"São João / Maria José (Goiânia , RM Goiânia)";UDH;--;0,894;0,937;0,836;0,00;4,05;0,32;0,00;1,20;1,16;1,00;2089,20
"São Judas Tadeu / Pompéia / Maria Rosa (Goiânia , RM Goiânia)";UDH;--;0,734;0,848;0,705;1,29;0,76;0,77;0,58;4,31;3,40;3,58;771,88
"São Paulo / Ana Flávia / São José / Av. Leste Oeste (Goiânia , RM Goiânia)";UDH;--;0,720;0,846;0,705;2,30;0,78;0,97;0,90;5,63;4,53;4,81;706,58
"Serrinha / Bueno : Tv. Anhanguera / Nova Suiça : Av. T-63 (Goiânia , RM Goiânia)";UDH;--;0,987;0,913;0,913;0,40;0,00;0,12;0,19;0,68;0,53;0,57;3714,74
"Setor Aeroporto / Pça. do Avião (Goiânia , RM Goiânia)";UDH;--;0,966;0,929;0,908;0,51;0,75;0,43;0,33;0,88;0,80;0,81;3265,89
"Setor dos Funcionários : Av. República do Líbano (Goiânia , RM Goiânia)";UDH;--;0,766;0,878;0,736;0,00;1,04;0,59;0,00;1,65;1,44;1,46;942,98
"Setor dos Funcionários / Cemitério Santana (Goiânia , RM Goiânia)";UDH;--;0,799;0,893;0,786;1,09;1,22;0,31;0,87;3,08;2,52;2,58;1157,18
"Setor dos Funcionários / Subestação CELG (Goiânia , RM Goiânia)";UDH;--;0,877;0,912;0,858;0,00;1,33;0,38;1,50;1,75;1,51;1,52;1873,15
"Setor Sudoeste / Alpes / Vila Bela / Residencial Manhattan (Goiânia , RM Goiânia)";UDH;--;0,833;0,905;0,847;0,73;0,38;0,32;0,39;1,91;1,57;1,64;1425,06
"Setor Sul : Rua 88 / Córrego Areião (Goiânia , RM Goiânia)";UDH;--;0,959;0,934;0,897;0,76;0,00;0,79;0,50;0,79;0,76;0,79;3126,87
"Setor Universitário : Av. Universitária / Av. Anhanguera (Goiânia , RM Goiânia)";UDH;--;0,874;0,905;0,888;0,46;0,00;0,09;0,17;0,97;0,69;0,73;1840,05
"Setor Universitário : BR 153 / CELG (Goiânia , RM Goiânia)";UDH;--;0,726;0,853;0,678;1,54;0,61;0,20;0,95;6,18;4,64;4,92;733,70
"Setor Universitário : Estádio Onésio Alvarenga / Pça. da Bíblia (Goiânia , RM Goiânia)";UDH;--;0,790;0,888;0,747;0,58;1,30;0,91;0,22;3,05;2,55;2,61;1090,86
"Solar Santa Rita / Parque Santa Rita (Goiânia , RM Goiânia)";UDH;--;0,766;0,869;0,671;0,51;1,29;0,42;0,63;3,93;3,17;3,31;937,95
